predictor,outcome,PPMC,pval,PPMC_abs
SF-36_32,SF-36_31,0.5452427684,2.20634738022508E-055,0.5452427684
FSI_13,SF-36_27,0.542304918,3.6657246475336E-054,0.542304918
FSI_9-11_3_AnsText,SF-36_23,0.5407087016,1.01699005871632E-053,0.5407087016
CTXD_24-28_3_AnsVal,SF-36_26,0.5406795404,8.6817766057416E-054,0.5406795404
CTXD_50-54_5_AnsVal,SF-36_30,0.5396405903,1.26425662719715E-053,0.5396405903
MW_1,SF-36_26,0.5392236849,1.32568392470348E-053,0.5392236849
SF-36_32,SF-36_18,0.5385244184,6.83099790861531E-054,0.5385244184
PHQ_2A-D_1_AnsVal,SF-36_30,0.5375769872,4.44338079380925E-053,0.5375769872
FSI_9-11_2_AnsText,SF-36_23,0.5368934638,6.352527467272E-053,0.5368934638
SF-36_32,SF-36_28,0.5363956621,2.49964979748324E-053,0.5363956621
SF-36_20,SF-36_30,0.5362435113,2.28424202373533E-053,0.5362435113
CTXD_50-54_5_AnsVal,SF-36_23,0.533175112,4.37734021452478E-052,0.533175112
SF-36_32,SF-36_13,0.5330708288,1.68711246341971E-052,0.5330708288
CTXD_29-33_2_AnsVal,SF-36_23,0.5324599727,3.23898064175033E-052,0.5324599727
MW_6,SF-36_30,0.5321560378,2.89439748389507E-046,0.5321560378
FSI_1-4_3_AnsText,SF-36_27,0.5300711178,1.54578234821399E-051,0.5300711178
CTXD_50-54_1_AnsVal,SF-36_26,0.5285087552,2.0957497926875E-051,0.5285087552
FSI_9-11_2_AnsText,SF-36_27,0.527269462,7.59068529187037E-051,0.527269462
PHQ_2A-D_2_AnsVal,SF-36_23,0.5257924073,4.99423969462697E-050,0.5257924073
CTXD_50-54_5_AnsVal,SF-36_26,0.5245058557,2.60161798248552E-050,0.5245058557
MW_6,SF-36_26,0.5242088703,8.86761938347244E-045,0.5242088703
CTXD_29-33_4_AnsVal,SF-36_26,0.5197372128,3.28527467922803E-049,0.5197372128
GAD7_5C,SF-36_30,0.5191871777,8.10093061304885E-049,0.5191871777
FSI_9-11_3_AnsText,SF-36_27,0.5191349006,5.17791306835646E-049,0.5191349006
SP_61_AnsVal,SF-36_28,0.5170862349,1.41462519947753E-048,0.5170862349
PHQ_2A-D_1_AnsVal,SF-36_26,0.5163958222,1.69594139882076E-048,0.5163958222
SF-36_8,SF-36_3,0.5159748221,8.19375837819751E-049,0.5159748221
SF-36_8,SF-36_4,0.5137354059,1.80530487109996E-048,0.5137354059
RH_M_9G_L_6_AnsVal,SF-36_12,0.5075451849,0.0001438418,0.5075451849
FSI_5-8_4_AnsText,SF-36_27,0.5073273228,9.88052203388572E-047,0.5073273228
CTXD_24-28_1_AnsVal,SF-36_27,0.5070795101,8.24543754397885E-047,0.5070795101
MW_15-18_2_AnsVal,SF-36_30,0.5065050052,1.25787122867749E-046,0.5065050052
SF-36_32,SF-36_25,0.5059944421,8.84489692562554E-047,0.5059944421
FSI_14,SF-36_23,0.5042898703,4.81681761419211E-046,0.5042898703
CTXD_24-28_3_AnsVal,SF-36_30,0.5034680962,1.10058347181924E-045,0.5034680962
FSI_15,SF-36_23,0.5018683602,1.2932210850025E-045,0.5018683602
GAD7_5B,SF-36_30,0.5010165016,5.31716558598913E-045,0.5010165016
PHQ_2E-H_2_AnsVal,SF-36_26,0.5005337597,4.29944229354557E-045,0.5005337597
MW_15-18_2_AnsVal,SF-36_26,0.4983015096,5.08196729933284E-045,0.4983015096
FSI_1-4_4_AnsText,SF-36_27,0.4976016867,1.24408642045496E-044,0.4976016867
MW_15-18_1_AnsVal,SF-36_30,0.4969671967,1.91911586267983E-044,0.4969671967
PHQ_2A-D_4_AnsVal,SF-36_23,0.4954325009,3.35503547452769E-044,0.4954325009
CTXD_50-54_3_AnsVal,SF-36_26,0.4949254412,1.13564439095973E-043,0.4949254412
SF-36_8,SF-36_5,0.4949183621,1.37026185601981E-044,0.4949183621
GAD7_5D,SF-36_30,0.4945466749,1.01587312767746E-043,0.4945466749
FSI_5-8_1_AnsText,SF-36_23,0.4942334917,5.7879169220437E-044,0.4942334917
SF-36_20,SF-36_27,0.4914273679,7.77674680633075E-044,0.4914273679
SF-36_20,SF-36_26,0.4913332815,7.06402135283466E-044,0.4913332815
GAD7_5A,SF-36_23,0.4896857645,2.58769137458472E-043,0.4896857645
MW_15-18_1_AnsVal,SF-36_23,0.4889792845,7.0625827143759E-043,0.4889792845
SF-36_8,SF-36_16,0.4887593449,2.98125804687635E-043,0.4887593449
MJM_4A_4_AnsVal,HC_38_9,0.4883664015,0.0004965295,0.4883664015
CTXD_39-43_4_AnsVal,SF-36_23,0.4862836438,2.0380883782196E-042,0.4862836438
SF-36_1,SF-36_27,0.4845679929,1.93718479671862E-042,0.4845679929
MW_6,SF-36_23,0.4832149675,3.04261346867139E-037,0.4832149675
SP_61_AnsVal,SF-36_24,0.4793228497,4.27088109522027E-041,0.4793228497
GAD7_5C,SF-36_23,0.4772995966,1.95505906936219E-040,0.4772995966
MW_19-23_2_AnsVal,SF-36_26,0.4762636487,1.3979575561159E-040,0.4762636487
GAD7_5A,SF-36_30,0.4749390411,1.47262759766834E-040,0.4749390411
MW_15-18_2_AnsVal,SF-36_23,0.4738540363,3.43897520362011E-040,0.4738540363
SF-36_8,SF-36_15,0.4731795116,3.12536379871734E-040,0.4731795116
MW_15-18_4_AnsVal,SF-36_26,0.4731260991,4.68597350588922E-040,0.4731260991
GAD7_5G,SF-36_26,0.470566566,6.26157871192057E-039,0.470566566
RH_M_9G_L_6_AnsVal,SF-36_15,0.4697939419,0.000504882,0.4697939419
MW_19-23_3_AnsVal,SF-36_30,0.469004089,6.38847010577567E-039,0.469004089
GAD7_5B,SF-36_23,0.4678493617,1.03015692717975E-038,0.4678493617
SF-36_32,SF-36_19,0.4674809676,2.70806038109755E-039,0.4674809676
FSI_5-8_4_AnsText,SF-36_23,0.467242692,6.29258924773306E-039,0.467242692
CTXD_24-28_1_AnsVal,SF-36_23,0.465135721,1.04276794150969E-038,0.465135721
CTXD_29-33_5_AnsVal,SF-36_26,0.4647735609,1.74916992620742E-038,0.4647735609
FSI_9-11_1_AnsText,SF-36_23,0.4638176661,2.92860968646396E-038,0.4638176661
CTXD_50-54_1_AnsVal,SF-36_27,0.4624165128,3.61581037968698E-038,0.4624165128
FSI_5-8_3_AnsText,SF-36_23,0.4619994459,9.99081380056284E-038,0.4619994459
GAD7_5F,SF-36_26,0.460742265,5.64280385396332E-038,0.460742265
PHQ_2A-D_1_AnsVal,SF-36_27,0.4606409434,1.20807718111828E-037,0.4606409434
RH_M_9G_L_4_AnsVal,SF-36_9,0.4600428064,1.55237348373035E-008,0.4600428064
BPI_A-D_2_AnsText,SF-36_23,0.4593068571,6.49804014045302E-016,0.4593068571
MW_15-18_1_AnsVal,SF-36_26,0.4590884594,2.0097896892464E-037,0.4590884594
CTXD_50-54_3_AnsVal,SF-36_30,0.4586071379,6.3132045178642E-037,0.4586071379
CTXD_50-54_3_AnsVal,SF-36_23,0.4581299536,7.63540539230876E-037,0.4581299536
FSI_1-4_1_AnsText,SF-36_27,0.4571501695,3.46566116694661E-037,0.4571501695
FSI_9-11_3_AnsText,SF-36_30,0.4569652727,5.31650367798193E-037,0.4569652727
CTXD_50-54_4_AnsVal,SF-36_27,0.4564218738,3.67217427444867E-037,0.4564218738
SF-36_1,SF-36_23,0.4559177342,4.00076194799251E-037,0.4559177342
MW_15-18_4_AnsVal,SF-36_30,0.4552283982,8.42410755844596E-037,0.4552283982
MW_19-23_3_AnsVal,SF-36_26,0.4548680761,1.74281481538076E-036,0.4548680761
MW_7-10_4_AnsVal,SF-36_26,0.454201652,1.79814110108742E-036,0.454201652
MW_1,SF-36_30,0.4533997954,1.95945894543207E-036,0.4533997954
PHQ_2E-H_2_AnsVal,SF-36_30,0.4533831641,2.79151176593109E-036,0.4533831641
CTXD_29-33_2_AnsVal,SF-36_36,0.4525712865,1.92482797934567E-036,0.4525712865
SP_61_AnsVal,SF-36_25,0.4509471747,4.60394015743199E-036,0.4509471747
CTXD_29-33_2_AnsVal,SF-36_30,0.4506862991,4.05987204567849E-036,0.4506862991
CTXD_29-33_4_AnsVal,SF-36_30,0.4501569364,7.89049496810771E-036,0.4501569364
CTXD_29-33_2_AnsVal,SF-36_26,0.450042337,4.67006178860704E-036,0.450042337
RH_M_9G_L_6_AnsVal,SF-36_16,0.4480739558,0.0009763692,0.4480739558
CTXD_24-28_1_AnsVal,SF-36_26,0.4478394642,9.91654772275354E-036,0.4478394642
FSI_9-11_1_AnsText,SF-36_27,0.4475147537,1.76592933650291E-035,0.4475147537
SF-36_32,SF-36_4,0.4470038264,1.09909606260063E-035,0.4470038264
SF-36_8,SF-36_11,0.4469838849,9.90204886398328E-036,0.4469838849
MW_19-23_3_AnsVal,SF-36_23,0.4461789818,5.80075238485252E-035,0.4461789818
PHQ_2E-H_2_AnsVal,SF-36_23,0.4460258882,5.50242000227763E-035,0.4460258882
CTXD_24-28_2_AnsVal,SF-36_26,0.4444764286,6.40265723587124E-035,0.4444764286
MW_19-23_2_AnsVal,SF-36_30,0.444363681,6.68662345651349E-035,0.444363681
FSI_9-11_2_AnsText,SF-36_30,0.4443462945,6.7315103725435E-035,0.4443462945
FSI_1-4_2_AnsText,SF-36_27,0.4443101631,7.62455559324405E-035,0.4443101631
